name,c1,c2,shortcut,k,e
n,16,16,True,"(3, 3)",1.0
n,32,32,False,"(3, 3)",1.0
m,48,48,True,"(3, 3)",1.0
m,96,96,False,"(3, 3)",1.0
m,96,96,True,"(3, 3)",1.0
m,192,192,False,"(3, 3)",1.0
m,192,192,True,"(3, 3)",1.0
m,288,288,False,"(3, 3)",1.0
m,288,288,True,"(3, 3)",1.0
x,80,80,True,"(3, 3)",1.0
x,160,160,False,"(3, 3)",1.0
x,160,160,True,"(3, 3)",1.0
x,320,320,False,"(3, 3)",1.0
x,320,320,True,"(3, 3)",1.0
n/s,32,32,True,"(3, 3)",1.0
n/s,64,64,False,"(3, 3)",1.0
s/l,256,256,False,"(3, 3)",1.0
s/l,256,256,True,"(3, 3)",1.0
n/s/l,64,64,True,"(3, 3)",1.0
n/s/l,128,128,False,"(3, 3)",1.0
n/s/l,128,128,True,"(3, 3)",1.0
