name,c1,c2,n,shortcut
n,32,32,1,True
s,64,64,1,True
n,64,64,2,True
m,96,96,2,True
n/s,128,128,2,True
l,128,128,3,True
x,160,160,3,True
n,192,64,1,False
m,192,192,4,True
n,256,128,1,False
n,256,256,1,True
s,256,256,2,True
l,256,256,6,True
x,320,320,6,True
n/s,384,128,1,False
s,384,256,1,False
m,384,384,4,True
n,512,256,1,False
s,512,512,1,True
l,512,512,3,True
l,512,512,6,True
m,576,192,2,False
m,576,384,2,False
m,576,576,2,True
x,640,640,3,True
x,640,640,6,True
s,768,256,1,False
l,768,256,3,False
s,768,512,1,False
l,768,512,3,False
x,960,320,3,False
m,960,384,2,False
m,960,576,2,False
x,960,640,3,False
l,1024,512,3,False
x,1280,640,3,False
