name,c1,c2,k,s,p
n,3,16,3,2,1
s,3,32,3,2,1
m,3,48,3,2,1
l,3,64,3,2,1
x,3,80,3,2,1
n,16,16,3,1,1
n,16,32,3,2,1
n,32,32,1,1,0
n/s,32,32,3,1,1
n/s,32,64,3,2,1
n,48,32,1,1,0
m,48,48,3,1,1
m,48,96,3,2,1
n/s,64,64,1,1,0
n/s/m/l,64,64,3,1,1
n,64,64,3,2,1
n/s/l,64,128,3,2,1
x,80,80,3,1,1
x,80,160,3,2,1
n/s,96,64,1,1,0
m,96,96,1,1,0
m,96,96,3,1,1
m,96,192,3,2,1
n,128,64,1,1,0
n/s,128,64,3,1,1
n/s/l,128,128,1,1,0
n/s/l,128,128,3,1,1
n/s,128,128,3,2,1
n/s/l,128,256,3,2,1
x,160,160,1,1,0
x,160,160,3,1,1
x,160,320,3,2,1
n,192,64,1,1,0
m,192,64,3,1,1
m,192,96,1,1,0
n/s,192,128,1,1,0
m,192,192,1,1,0
m,192,192,3,1,1
m,192,192,3,2,1
m,192,384,3,2,1
n/s/l,256,64,3,1,1
n/s,256,128,1,1,0
s,256,128,3,1,1
n/s/l,256,256,1,1,0
s/l,256,256,3,1,1
s/l,256,256,3,2,1
s/l,256,512,3,2,1
m,288,288,3,1,1
x,320,80,3,1,1
l,320,128,1,1,0
x,320,320,1,1,0
x,320,320,3,1,1
x,320,320,3,2,1
x,320,640,3,2,1
m,384,64,3,1,1
n/s,384,128,1,1,0
m,384,192,1,1,0
m,384,192,3,1,1
n/s,384,256,1,1,0
m,384,384,1,1,0
m,384,384,3,2,1
m,384,576,3,2,1
x,400,160,1,1,0
s/l,512,64,3,1,1
s,512,128,3,1,1
n/s/l,512,256,1,1,0
l,512,256,3,1,1
s/l,512,512,1,1,0
l,512,512,3,2,1
m,576,64,3,1,1
m,576,192,1,1,0
m,576,192,3,1,1
m,576,288,1,1,0
m,576,384,1,1,0
m,576,576,1,1,0
x,640,80,3,1,1
l,640,256,1,1,0
x,640,320,1,1,0
x,640,320,3,1,1
x,640,640,1,1,0
x,640,640,3,2,1
s/l,768,256,1,1,0
m,768,384,1,1,0
s/l,768,512,1,1,0
x,800,320,1,1,0
x,960,320,1,1,0
m,960,384,1,1,0
m,960,576,1,1,0
x,960,640,1,1,0
l,1024,256,1,1,0
s/l,1024,512,1,1,0
m,1152,384,1,1,0
m,1152,576,1,1,0
x,1280,320,1,1,0
l,1280,512,1,1,0
x,1280,640,1,1,0
x,1600,640,1,1,0
l,2048,512,1,1,0
x,2560,640,1,1,0
